,ITEM_NAME,ID,SCORE
0,item45,300000096025,6
1,item18,144015007771,4
2,,144000070939,7
3,item3,144001575916,2
4,item39,144002417977,1
5,item31,300000765701,5
6,item27,145014975789,6
7,item8,145003036523,2
8,item15,144000171662,3
9,item26,145015152095,3
10,item33,143000006329,10
11,,300002470257,4
12,,144002347291,25
13,,144013933382,3
14,item26,300000113627,3
15,item3,300002356097,1
16,item19,144014058050,108
17,,300000025030,5
18,item42,300001061149,3
19,,300001446782,8
20,item40,300002405895,3
21,item16,145003202667,13
22,,145015564038,8
23,,144003376049,10
24,,300000077419,4
25,item51,300001191470,4
26,,300001191470,7
27,item27,145003479283,3
28,,144014800205,3
29,,144000090339,2
30,item27,145003493540,6
31,item16,144015067158,8
32,item11,144013981238,11
33,item26,145014467846,3
34,,144002086716,6
35,item45,300003001855,1
36,item14,300000304052,4
37,item39,300000514338,4
38,item14,300002032495,2
39,item19,300000177627,3
40,item14,300000347159,3
41,,145003754757,21
42,,145015371025,3
43,item14,300002500245,1
44,,300000335724,7
45,,145011945396,4
46,item53,145011975066,4
47,item16,145004095270,7
48,,300000068515,4
49,,144003671433,2
50,,145007018119,16
51,item42,145011438147,4
52,item8,144000395699,4
53,item51,145011974791,5
54,,158000000169,27
55,item14,145015155847,2
56,item19,300000012328,4
57,item3,300002207121,1
58,item45,145014154331,3
59,item36,144003955789,2
60,,159000009386,4
61,item8,145003165154,5
62,item16,300000278538,10
63,item53,300001848967,4
64,item18,144001573482,2
65,,300000004355,16
66,item45,300000130611,4
67,item14,144001950034,2
68,item5,145014799455,5
69,item33,300002020140,1
70,,144015891413,4
71,item37,144015891413,2
72,,300000450086,6
73,item33,300000955435,5
74,,145003838031,2
75,item53,145006781719,4
76,item27,300000013398,4
77,,158000003867,14
78,item46,145015788943,6
79,item18,145007581611,4
80,item16,174000018180,4
81,item36,145003113115,4
82,item52,145004551428,9
83,,144000075180,23
84,item36,145003482066,4
85,,144001812925,12
86,item34,300002042890,2
87,,144000015914,42
88,,144014324392,8
89,item6,300002477580,4
90,item45,300000354543,6
91,item33,300000953792,3
92,item53,300001127269,4
93,item45,300001305636,5
94,item53,300002178618,2
95,,144000078489,11
96,item42,145003283427,2
97,item14,144004434537,4
98,,144011973393,18
99,,145000439945,23
100,item33,145014247155,14
101,item7,145014358595,8
102,item7,144004306558,11
103,item24,132000046425,6
104,item47,144006650305,3
105,,300002201083,2
106,item26,145011446659,2
107,item40,145015066583,11
108,,144000007426,7
109,,144002533217,7
110,item3,145008369321,1
111,,144014357645,15
112,item53,145004524316,12
113,item14,144000011623,4
114,item53,300002415520,2
115,item43,145003179514,4
116,,300000868785,1
117,item33,300000004970,2
118,item6,144003611656,8
119,item45,144000080032,1
120,item3,145003370411,6
121,item43,145008412220,2
122,item33,144014113367,3
123,,144014907706,16
124,item42,142003287379,4
125,item8,145013947708,3
126,item39,145014461476,4
127,item45,145006937520,10
128,item13,145011444179,1
129,item37,300001526209,2
130,item11,144001519436,8
131,,144008353462,8
132,,144000031558,9
133,item3,144004206184,5
134,item8,144000028510,3
135,,144013967340,3
136,,145003690093,3
137,,175000045165,18
138,item27,300000165381,3
139,item45,300000836648,7
140,item42,300001086183,3
141,item50,144000026358,2
142,,300001288922,4
143,,300000027577,3
144,item11,144015600970,5
145,item13,144001718200,3
146,item19,144003538015,3
147,item28,300000249848,5
148,item36,300000072367,3
149,item14,145015007424,7
150,item26,145004583085,4
151,,300000010011,13
152,,144000281658,12
153,,144000004683,13
154,item16,300000908224,7
155,item8,300001470194,1
156,item8,300002153217,2
157,item43,300002519865,2
158,item16,145004144374,3
159,item16,300000904957,8
160,item36,300001131923,3
161,item27,144002570664,1
162,,144000020655,3
163,item47,144002144122,3
164,item42,144002370985,2
165,item31,300000765912,6
166,,300002932094,2
167,item34,144015155923,2
168,,145006072892,40
169,item33,145006858494,7
170,item13,145008426965,2
171,item16,145008891669,7
172,,144003392969,21
173,item11,144004092142,12
174,item26,144002364204,2
175,item17,144003108160,4
176,item45,300001101823,2
177,item7,300002692562,3
178,,145001640657,2
179,,145014353794,19
180,item16,145006156083,8
181,item33,300002403967,2
182,item18,145011426425,6
183,item2,145006040235,3
184,,145011449491,7
185,item35,145003646730,5
186,item26,145004106046,4
187,,144000061111,3
188,item30,300002000934,5
189,item16,145014911490,10
190,item34,144003780678,13
191,item6,145003158123,7
192,item42,144010571412,1
193,,144007604062,10
194,item16,145004299250,7
195,item7,300002692501,3
196,item45,144000002420,3
197,,300001371804,2
198,,145015008928,6
199,item16,300002043148,6
200,item26,145004566016,2
201,,300000091539,8
202,item11,144000000175,23
203,,300000879088,5
204,item14,145003485685,6
205,,144008370818,14
206,item38,132000059687,14
207,,144004682846,4
208,,144014059802,22
209,,300000149506,12
210,item53,300000474869,10
211,item33,144014959407,3
212,item7,144001515240,2
213,item33,145002401883,7
214,,144015256253,9
215,item20,300000027148,3
216,item53,300000106006,9
217,item8,300000313208,4
218,item40,300000325579,2
219,,300000422660,10
220,item33,144003392721,6
221,item51,145015010208,9
222,,145014911568,15
223,item33,145003930700,4
224,item15,300000502002,3
225,,300001086163,7
226,item26,300001189967,4
227,,300002112336,2
228,item14,300002359768,3
229,item40,300000411115,3
230,item18,300000259446,6
231,item8,300000271591,4
232,,300000284618,11
233,item26,300000346961,4
234,item24,300000625019,2
235,item34,300001759825,7
236,item45,145015008618,6
237,,145006166624,2
238,item16,300000148882,9
239,item33,144000008239,6
240,item31,144000032917,4
241,,145014359250,4
242,item43,144000032279,3
243,item27,300000100242,1
244,item16,300000024749,4
245,,145003774888,10
246,item47,144014252269,7
247,item7,300001515478,2
248,,144001616491,3
249,,300000422662,6
250,item45,300000698311,6
251,item33,300001376135,4
252,item26,300001454713,3
253,,144000054876,21
254,item36,145010575450,3
255,item17,144001734539,5
256,item18,144002321183,4
257,item14,300000229341,5
258,item45,144002581609,3
259,item41,145015080960,13
260,item39,145015747299,2
261,item14,145015747299,4
262,,300000130706,8
263,item39,145003164673,1
264,item43,145009991796,5
265,,145010606919,3
266,item16,145004481543,7
