date,MMM,ABT,ABBV,ABMD,ACN
2000-05-22,84.19,42.75,,38.75,
2000-05-23,84.13,42.75,,38.44,
2000-05-24,88.19,43.46,,39.48,
2000-05-25,84.94,42.75,,40.5,
2000-05-26,84.0,41.69,,38.88,
2000-05-30,85.13,41.13,,37.81,
2000-05-31,86.56,40.69,,38.0,
2000-06-01,84.88,40.88,,38.94,
2000-06-02,84.31,39.13,,40.5,
2000-06-05,85.06,39.75,,41.0,
2000-06-06,82.31,40.19,,40.88,
2000-06-07,81.75,40.19,,39.88,
2000-06-08,81.75,40.63,,39.25,
2000-06-09,81.94,40.81,,40.44,
2000-06-12,81.96,40.31,,39.81,
2000-06-13,81.88,41.06,,37.13,
2000-06-14,84.19,42.0,,37.0,
2000-06-15,86.44,42.88,,34.13,
2000-06-16,84.44,42.44,,36.13,
2000-06-19,83.5,42.56,,35.38,
2000-06-20,82.19,41.81,,33.63,
2000-06-21,86.25,41.56,,36.0,
2000-06-22,86.06,40.81,,35.75,
2000-06-23,84.44,40.44,,34.19,
2000-06-26,85.5,41.06,,34.0,
2000-06-27,86.63,41.56,,29.44,
2000-06-28,86.07,42.54,,31.13,
2000-06-29,85.56,41.88,,32.25,
2000-06-30,83.0,44.56,,30.75,
2000-07-03,84.06,44.31,,33.5,
2000-07-05,88.5,44.56,,35.19,
2000-07-06,86.56,43.81,,35.0,
2000-07-07,86.13,43.31,,36.13,
2000-07-10,87.19,43.0,,37.19,
2000-07-11,88.94,43.0,,40.31,
2000-07-12,90.06,44.31,,43.0,
2000-07-13,89.56,43.63,,43.94,
2000-07-14,87.88,42.5,,45.63,
2000-07-17,87.25,42.5,,47.88,
2000-07-18,88.0,41.94,,43.94,
2000-07-19,86.5,41.13,,44.5,
2000-07-20,86.5,41.13,,44.56,
2000-07-21,86.38,40.38,,45.0,
2000-07-24,89.06,40.75,,42.13,
2000-07-25,88.31,39.75,,45.06,
2000-07-26,88.56,39.88,,47.44,
2000-07-27,89.0,40.0,,44.0,
2000-07-28,91.0,41.5,,40.09,
2000-07-31,90.06,41.5,,39.75,
2000-08-01,89.38,42.19,,40.0,
2000-08-02,90.25,42.75,,39.0,
2000-08-03,89.94,42.94,,39.25,
2000-08-04,90.0,42.0,,42.0,
2000-08-07,90.88,40.43,,40.19,
2000-08-08,91.38,40.19,,40.44,
2000-08-09,92.5,39.56,,39.38,
2000-08-10,94.88,40.56,,40.31,
2000-08-11,96.75,40.93,,39.63,
2000-08-14,95.69,40.19,,42.38,
2000-08-15,94.88,40.19,,42.0,
2000-08-16,94.19,41.06,,43.0,
2000-08-17,95.25,40.94,,42.88,
2000-08-18,95.13,40.19,,45.0,
2000-08-21,94.94,41.81,,46.0,
2000-08-22,96.31,42.06,,46.06,
2000-08-23,95.94,41.63,,48.44,
2000-08-24,94.81,40.94,,55.13,
2000-08-25,95.75,41.88,,55.63,
2000-08-28,95.13,43.25,,52.25,
2000-08-29,94.63,42.56,,54.25,
2000-08-30,93.38,43.06,,59.88,
2000-08-31,93.02,43.77,,60.38,
2000-09-01,92.5,43.25,,62.63,
2000-09-05,92.25,42.69,,60.0,
2000-09-06,94.13,42.38,,56.0,
2000-09-07,91.63,43.19,,54.75,
2000-09-08,89.94,44.13,,56.13,
2000-09-11,88.94,44.94,,57.13,
2000-09-12,88.06,44.88,,56.13,
2000-09-13,86.5,44.25,,55.38,
2000-09-14,85.0,44.0,,56.25,
2000-09-15,85.13,44.0,,54.25,
2000-09-18,83.19,44.25,,55.5,
2000-09-19,83.88,43.5,,57.19,
2000-09-20,81.75,43.94,,59.94,
2000-09-21,86.44,46.0,,61.5,
2000-09-22,88.25,48.5,,61.44,
2000-09-25,90.0,48.0,,64.5,
2000-09-26,89.88,46.5,,61.44,
2000-09-27,89.94,46.75,,63.0,
2000-09-28,91.63,46.69,,65.94,
2000-09-29,91.13,47.56,,68.13,
2000-10-02,91.69,47.94,,32.75,
2000-10-03,94.0,48.25,,32.5,
2000-10-04,95.5,47.38,,31.5,
2000-10-05,93.25,47.63,,31.75,
2000-10-06,92.19,47.94,,35.0,
2000-10-09,91.75,47.69,,35.69,
2000-10-10,93.13,49.06,,36.53,
2000-10-11,93.25,50.06,,34.25,
2000-10-12,90.88,49.75,,32.13,
2000-10-13,91.0,50.25,,31.88,
2000-10-16,92.19,50.44,,33.63,
2000-10-17,91.13,51.5,,31.88,
2000-10-18,91.13,51.0,,31.81,
2000-10-19,89.0,48.75,,32.75,
2000-10-20,87.25,48.81,,32.5,
2000-10-23,89.81,49.31,,33.56,
2000-10-24,90.06,49.25,,35.75,
2000-10-25,90.13,51.44,,35.75,
2000-10-26,92.19,51.06,,35.0,
2000-10-27,93.5,51.69,,35.13,
2000-10-30,95.0,54.0,,30.0,
2000-10-31,96.63,52.81,,29.0,
2000-11-01,95.13,52.88,,28.63,
2000-11-02,94.94,53.5,,29.44,
2000-11-03,94.88,52.75,,28.88,
2000-11-06,97.38,52.63,,29.0,
2000-11-07,96.94,52.31,,27.63,
2000-11-08,97.31,52.5,,27.13,
2000-11-09,97.38,52.38,,27.28,
2000-11-10,95.0,52.56,,26.31,
2000-11-13,94.81,51.25,,24.13,
2000-11-14,95.0,50.88,,28.27,
2000-11-15,95.38,53.25,,31.69,
2000-11-16,95.31,52.88,,29.25,
2000-11-17,96.0,52.13,,29.63,
2000-11-20,94.63,52.69,,27.88,
